start_station_id,neighborhood
13001,Chicago Loop
17660,West Town
SL-012,Near South Side
13128,Gold Coast
TA1307000107,Uptown
KA1504000097,Irving Park
KA1504000143,North Center
KA1504000134,Gold Coast
TA1309000019,W Deming Pl
TA1306000016,Sheffield & DePaul
SL-005,Cook County
623,Cook County
13022,Streeterville
13278,Lake View East
632,Lake View East
TA1309000025,Lake View East
TA1309000032,Pulaski Park
TA1307000052,Lake View East
13294,Lincoln Park
639,Chicago
TA1308000021,Uptown
13194,West Town
15664,N Artesian Ave
13247,West Town
TA1308000050,Gold Coast
20254.0,Lincoln Park
TA1307000001,Lincoln Park
13430,River North
13288,Bucktown
TA1309000015,Lincoln Square
TA1309000004,Chicago Loop
15542,Near West Side
KA1504000117,Goose Island
15578,Chicago
TA1307000158,Lincoln Square
KA1504000155,Cook County
13398,Hyde Park
15642,Avondale
KA1504000156,Rogers Park
525,Rogers Park
TA1307000038,Near North Side
20127,Roseland
515,Rogers Park
331,Goose Island
RP-008,Rogers Park
KA1504000162,Rogers Park
638,Cook County
KA1504000109,North Lawndale
TA1309000055,Bridgeport
13341,Cook County
13034,Streeterville
TA1305000004,Near South Side
15666,Garfield Park
20246.0,West Town
15652,Humboldt Park
16010,Hermosa
E006,Evanston
15650,Logan Square
TA1307000166,Goose Island
TA1305000032,Cook County
KA1503000069,Kenwood
TA1309000061,Sheffield & DePaul
KA1504000151,Andersonville
13109,Chicago
TA1309000036,Sheffield & DePaul
KA1503000007,Hyde Park
20.0,West Town
TA1309000063,Hyde Park
KA1504000086,South Lawndale
KA1706005015,Old Irving Park
TA1309000050,Lake View
KP1705001026,River North
13156,West Loop
15539,Cook County
TA1307000124,Near South Side
TA1308000006,West Town
TA1306000013,Streeterville
13037,Cook County
13099,Little Italy
13133,Bucktown
13276,W Deming Pl
13285,Near West Side
13160,Little Italy
WL-008,Near West Side
13021,West Town
TA1307000117,River North
TA1307000140,Lincoln Square
13102,Near South Side
TA1309000001,Little Italy
TA1309000066,Ravenswood
KA1504000149,Lincoln Square
KA1706005007,Chicago Loop
13266,Logan Square
322,Portage Park
15615,Albany Park
13108,Uptown
TA1305000041,West Town
TA1306000026,Lincoln Park
13432,West Town
TA1305000039,Bucktown
TA1307000121,Little Italy
15631,Irving Park
KA1504000175,Rogers Park
13061,West Town
TA1305000025,Chicago Loop
TA1305000025,Cook County
TA1309000026,North Center
TA1308000045,Bridgeport
KA1504000093,Lincoln Square
20224,East Side
13016,Streeterville
13332,Little Italy
18017,Humboldt Park
13268,North Center
TA1308000031,Lathrop Homes
TA1307000150,Lake View East
13292,Logan Square
KA1504000127,Lincoln Square
TA1305000005,Chicago Loop
13229,Lake View
20251.0,West Town
TA1305000029,Chicago Loop
644,Tri-Taylor
TA1308000012,Chicago
SL-011,Chicago Loop
TA1309000049,Lake View East
KA1504000147,Lincoln Square
15445,Park Boulevard
KA1504000113,Humboldt Park
15621,Irving Park
RP-005,West Ridge
13056,Cook County
15534,Streeterville
13216,Park Boulevard
13409,West Loop
KA1504000104,Near West Side
13136,West Town
18003,Streeterville
15646,Logan Square
TA1307000111,West Town
TA1307000115,Cabrini-Green
13036,Chicago Loop
15545,Near South Side
624,Chicago Loop
TA1306000015,West Town
TA1305000011,Streeterville
KA1504000140,Bucktown
KA1503000034,Chicago Loop
13269,Lake View
TA1305000014,W Deming Pl
15632,North Center
13300,Chicago Loop
KA1503000012,River North
KA1504000148,Magnolia Glen
657,West Town
KA1504000135,Rush & Division
SL-008,Chicago Loop
654,West Loop
15544,Cook County
TA1305000009,Chicago Loop
TA1309000007,Cook County
636,West Town
13144,North Center
18016,Irving Park
13323,Lake View East
TA1309000008,Cook County
13353,West Loop
TA1308000019,Lake View
13008,Chicago Loop
KA150400009X,Avondale
TA1307000144,North Center
15682,North Lawndale
13245,W North Ave
KA1503000064,Streeterville
TA1308000001,Chicago
13191,W Dickens Ave
13146,W Dickens Ave
13063,Lake View East
18062,West Loop
TA1309000021,Lake View
TA1305000037,West Town
KA1504000152,Lakefront Trail
TA1309000030,Lincoln Park
TA1307000062,West Town
LF-005,Gold Coast
13235,Wrigleyville
TA1309000059,Lincoln Park
TA1307000128,Rush & Division
13071,Lake View
TA1305000022,West Town
13258,West Town
RN-,West Town
TA1309000035,Ravenswood
13179,Lincoln Park
13325,Lake View East
TA1309000024,Gold Coast
13319,Lake View
TA1309000012,North Center
KA1504000133,Rush & Division
TA1305000030,Chicago Loop
13132,West Town
TA1306000014,Sheffield & DePaul
13389,Uptown
13074,Uptown
13137,Lake View East
13224,West Town
TA1308000036,South Commons
13006,Chicago Loop
13221,West Town
13303,Rush & Division
13050,River North
643,N Artesian Ave
13427,Streeterville
TA1305000034,West Town
TA1307000061,Rush & Division
TA1305000003,Streeterville
TA1307000048,Douglas
13084,Logan Square
TA1307000039,Rush & Division
KA1503000044,River North
KA1504000103,W Cortez St
13379,Uptown
TA1309000018,Lake View
TA1308000009,Hyde Park
13434,West Town
TA1307000151,River North
KA1503000071,Hyde Park
13263,Chicago Loop
13164,Little Italy
SL-007,Chicago Loop
KA1504000158,North Center
KA1504000146,Andersonville
18067,West Town
TA1308000049,Gold Coast
570,Greater Grand Crossing
15443,Bridgeport
15655,Humboldt Park
13206,West Loop
TA1307000120,West Loop
13053,West Loop
TA1309000037,Hyde Park
TA1309000002,Chicago Loop
TA1309000064,Near West Side
13215,Douglas
13033,West Town
15546,Near South Side
13243,West Town
13431,Chicago
15622,Irving Park
13011,Cook County
TA1309000058,Sheffield & DePaul
15575,Edgewater
